"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2020","EQ","594.95","603.80","592.55","600.05","598.50","598.30","597.88","845.90","471.40","5,525,648","3,303,677,609.05","100,616"
"13-Jul-2020","EQ","571.95","601.80","570.50","569.00","600.50","600.05","592.89","845.90","471.40","11,008,262","6,526,717,325.95","139,715"
"10-Jul-2020","EQ","572.00","572.00","561.35","577.30","566.80","569.00","567.43","845.90","471.40","3,959,576","2,246,771,096.25","70,328"
"09-Jul-2020","EQ","583.45","587.70","572.05","583.45","576.45","577.30","578.65","845.90","471.40","2,498,149","1,445,556,999.60","47,349"
"08-Jul-2020","EQ","589.95","593.90","576.10","586.85","581.70","583.45","584.86","845.90","471.40","3,391,025","1,983,288,542.20","75,095"
"07-Jul-2020","EQ","583.85","592.50","577.10","581.55","586.00","586.85","586.65","845.90","471.40","5,126,702","3,007,603,926.25","104,555"
"06-Jul-2020","EQ","574.95","588.00","573.05","567.20","580.70","581.55","581.54","845.90","471.40","4,909,648","2,855,177,731.60","103,858"
"03-Jul-2020","EQ","565.90","572.25","561.05","560.85","565.35","567.20","565.93","845.90","471.40","4,007,492","2,267,963,345.30","112,355"
"02-Jul-2020","EQ","549.90","562.50","542.50","545.90","562.50","560.85","554.33","845.90","471.40","5,966,758","3,307,566,871.05","156,600"
"01-Jul-2020","EQ","544.00","547.35","536.05","543.40","546.75","545.90","542.17","845.90","471.40","3,662,565","1,985,749,688.80","106,942"
